FileName,Speaker,FinalSyll,Sex,Question,PitchMin,PitchMax,PitchRange,numPoints,Pt1Time,Pt2Time,Pt3Time,Pt4Time,Pt5Time,Pt6Time,Pt7Time,Pt8Time,Pt9Time,syllableStart.1,syllableEnd.1,syllableStart.2,syllableEnd.2,syllableStart.3,syllableEnd.3,syllableStart.4,syllableEnd.4,syllableStart.5,syllableEnd.5,syllableStart.6,syllableEnd.6,syllableStart.7,syllableEnd.7
CORRECTPAEnglish_005b_ExpAudio_B_02_ER_P05_1,P05,fall,M,Did Bobby post the schedule?,80.53121621,125.3500358,44.81881955,6,0.451047967,0.758279652,0.874812442,1.245659358,1.396821441,1.492010633,NA,NA,NA,0.398345035,0.514998422,0.514998422,0.675439183,0.675439183,0.774998422,0.774998422,1.014998422,1.014998422,1.094998422,1.094998422,1.31500211,1.31500211,1.53631476
CORRECTPAEnglish_027a_ExpAudio_A_04_ER_P27_1,P27,rise,M,Did Lee forget his ticket?,92.13747118,262.7744099,170.6369387,6,0.319717287,0.539928226,0.875144162,1.025336849,1.634130216,1.896294751,NA,NA,NA,0.281589725,0.464956122,0.464956122,0.744956122,0.744956122,0.954960151,0.954960151,1.164956122,1.164956122,1.444956122,1.444956122,1.675150788,1.675150788,2.004956122
CORRECTPAEnglish_020b_ExpAudio_B_06_ER_P20_1,P20,rise,F,Did Clover build this table?,183.5898005,545.6090912,362.0192907,5,0.260302693,0.592372322,0.694626966,1.363638417,1.543902226,NA,NA,NA,NA,0.238314218,0.354999259,0.354999259,0.596449588,0.596449588,0.742067814,0.742067814,1.003557916,1.003557916,1.204999259,1.204999259,1.383409772,1.383409772,1.556060868
CORRECTPAEnglish_019a_ExpAudio_A_05_ER_P19_1,P19,fall,F,Did Mary hurt her shoulder?,122.996269,221.0856189,98.0893499,6,0.244150841,0.45340311,0.678150197,1.226489683,1.373118532,1.483726103,NA,NA,NA,0.222053481,0.366492375,0.366492375,0.515688586,0.515688586,0.683424187,0.683424187,0.885019857,0.885019857,0.987277786,0.987277786,1.304415309,1.304415309,1.611543101
CORRECTPAEnglish_006a_ExpAudio_A_01_ER_P06_1,P06,fall,M,Did Lenny drink a milkshake?,104.9026344,204.3571732,99.4545388,5,0.394628712,0.637512673,1.021550726,1.340057898,1.39115989,NA,NA,NA,NA,0.326621124,0.476500657,0.476500657,0.582276516,0.582276516,0.684987456,0.684987456,0.914987456,0.914987456,0.964987456,0.964987456,1.204797726,1.204797726,1.4654635
CORRECTPAEnglish_019a_ExpAudio_A_02_ER_P19_1,P19,neutral,F,Did Tracy plant those daisies?,109.742383,277.583342,167.840959,4,0.218565713,0.327432893,0.54841702,1.813062717,NA,NA,NA,NA,NA,0.200743241,0.33497946,0.33497946,0.573642996,0.573642996,0.743685616,0.743685616,1.04497946,1.04497946,1.27497946,1.27497946,1.50301455,1.50301455,1.996343648
CORRECTPAEnglish_023a_ExpAudio_A_04_ER_P23_1,P23,fall,F,Did Lee forget his ticket?,177.4981894,358.7982454,181.300056,5,0.30442057,0.557951319,1.19994851,1.391412813,1.434652251,NA,NA,NA,NA,0.265318719,0.383044681,0.383044681,0.565021574,0.565021574,0.723463438,0.723463438,0.915021574,0.915021574,1.115021574,1.115021574,1.275291545,1.275291545,1.49565229
CORRECTPAEnglish_002a_ExpAudio_A_01_G_P02_1,P02,neutral,F,Did Kevin do his homework?,199.3442566,523.5679245,324.2236679,6,0.614017732,0.849874045,1.022363557,1.140509889,1.354122822,1.57058986,NA,NA,NA,0.573271692,0.723726754,0.723726754,0.837019723,0.837019723,1.00381215,1.00381215,1.100463765,1.100463765,1.246133223,1.246133223,1.442647015,1.442647015,1.691663877
CORRECTPAEnglish_003b_ExpAudio_B_06_ER_P03_1,P03,neutral,M,Did Clover build this table?,119.3746148,194.4697999,75.09518513,4,0.384118503,0.457464148,0.562639034,1.521892438,NA,NA,NA,NA,NA,0.362740856,0.46630183,0.46630183,0.665025536,0.665025536,0.795025536,0.795025536,1.025777743,1.025777743,1.175025536,1.175025536,1.335025536,1.335025536,1.552740862
CORRECTPAEnglish_034b_ExpAudio_B_06_ER_P34_1,P34,fall,F,Did Clover build this table?,121.6101918,289.4704617,167.8602699,8,0.300607031,0.570917108,0.76577723,0.896910993,1.024465074,1.448156752,1.589620977,1.712301062,NA,0.286847495,0.405009992,0.405009992,0.675068139,0.675068139,0.803832726,0.803832726,1.095966247,1.095966247,1.305009992,1.305009992,1.524059085,1.524059085,1.734524553
CORRECTPAEnglish_007b_ExpAudio_B_03_G_P07_1,P07,rise,F,Did Eugene wear his snowboots?,160.0179731,372.2402983,212.2223252,6,0.387238273,0.552866756,0.915672005,1.08469394,1.622329254,1.843775599,NA,NA,NA,0.371052035,0.514946143,0.514946143,0.680934217,0.680934217,0.954946143,0.954946143,1.214946143,1.214946143,1.365102539,1.365102539,1.647607262,1.647607262,2.105126263
CORRECTPAEnglish_011b_ExpAudio_B_06_G_P11_1,P11,neutral,F,Did Gerald like the meatballs?,155.0521564,587.7076604,432.6555039,3,0.32312399,0.54532519,1.702785317,NA,NA,NA,NA,NA,NA,0.307833756,0.464994217,0.464994217,0.660700972,0.660700972,0.924994217,0.924994217,1.144994217,1.144994217,1.234994217,1.234994217,1.45907391,1.45907391,1.898322563
CORRECTPAEnglish_015b_ExpAudio_B_06_G_P15_1,P15,rise,M,Did Gerald like the meatballs?,103.3951397,289.1433331,185.7481934,6,0.363845221,0.496924757,0.647617762,0.784742034,0.852056425,1.5338612,NA,NA,NA,0.315249711,0.424987846,0.424987846,0.554987846,0.554987846,0.784987846,0.784987846,1.004987846,1.004987846,1.084987846,1.084987846,1.314987846,1.314987846,1.751597421
CORRECTPAEnglish_032b_ExpAudio_B_04_ER_P32_1,P32,rise,F,Did Daddy make his pancakes?,161.5857812,347.4341223,185.8483411,6,0.243647273,0.45555596,0.720472035,1.302620965,1.44201388,1.664066775,NA,NA,NA,0.20676478,0.368514418,0.368514418,0.584842653,0.584842653,0.696568768,0.696568768,0.984985156,0.984985156,1.144985156,1.144985156,1.444771291,1.444771291,2.010573666
CORRECTPAEnglish_005b_ExpAudio_B_01_G_P05_1,P05,neutral,M,Did Lenny drink a milkshake?,114.5592216,159.8577067,45.29848507,4,0.667234625,1.330835548,1.585305162,1.716987544,NA,NA,NA,NA,NA,0.611836235,0.754962405,0.754962405,0.880330343,0.880330343,0.984962405,0.984962405,1.225697089,1.225697089,1.254962405,1.254962405,1.471094991,1.471094991,1.832338923
